Headline,Main Verbs,Gender,Active.role,Career.related,Facebook.likes,Date
Paula Patton Opens Up About Her Split From Robin Thicke And Declares She's 'Like A Real Woman Now'!,open up declare,f,1,0,257,3.30.2015
Jenny McCarthy ComparesÊThe ViewÊTo The Titanic! Gives It About 'One More Year' Before It Goes Down!,compare,f,1,0,236,3.30.2015
Zayn Malik & Perrie Edwards Spotted House Hunting! Could This Be Their New Home As Newlyweds?!,spotted be,m,0,0,135,3.30.2015
Hilary Duff Confesses The REAL Reason Why She Dyed Her Hair Teal! Prepare To Be Shocked!,confess,f,1,0,238,3.30.2015
Evan Rachel Wood Gets SCARY In Brandon Flowers'Can't Deny My LoveÊMusic Video! Watch HERE!,get,f,0,1,52,3.30.2015
David Beckham & James Corden Spoof Serious Underwear Ads In Hilarious New Video! Watch HERE!,spoof,m,1,1,294,3.30.2015
Country Crooner Jason Aldean Talks Having Kids With His New Wife!,talk,m,1,0,98,3.30.2015
As If Joe Manganiello Weren't Man EnoughÉ Scott Eastwood Joins TheÊSuicide SquadÊMovie!,join is,m,1,1,521,3.30.2015
Jennifer Lopez & Casper Smart's Sizzling Relationship Heats Up As They Go Out For Some Yummy Pancakes!,heat up go,f,0,0,256,3.30.2015
Is Angelina Jolie Officially Going By Angelina Jolie Pitt?!,is going by,f,1,0,235,3.30.2015
Chrissy Teigen & Ludacris Will Host The Billboard Music Awards!,host,f,1,1,255,3.30.2015
Molly Sims Is Absolutely Breathtaking In This Adorable Selfie With Her Newborn Daughter!,is,f,0,0,281,3.30.2015
Lily Allen Basically Performs In A Rose-Covered Bathrobe For The Rose Ball In Monte Carlo!,perform,f,1,1,100,3.30.2015
Robin Williams' Estate Dispute Between Widow And Children Finally Heads To Court,head,m,0,0,201,3.30.2015
Game Of ThronesÊStar Maisie Williams Will Guest Star OnÊDoctor Who! Listen Up Ñ Here's What She Said About It!,guest star say,f,1,1,144,3.30.2015
All The Times Kylie Jenner Made Us Wonder If She Really Is 17!,is make,f,0,0,568,3.30.2015
Apple CEO Tim Cook Stands Up For The Rights Of Everyone In The Face Of Horrible Discriminatory Legislation Ñ Read His Powerful Words HERE,stand up for,m,1,1,247,3.30.2015
"Demi Lovato Shows Off Her Toned Booty In A Colorful Bikini Ñ And Her Adorable Little Pup Buddy, Too!",show off,f,0,0,579,3.30.2015
"Zayn Malik's Decision To Leave One Direction Not Only Affected His Bandmates & The Fandom, It Put His Bodyguard Out Of A Job!",affect put,m,1,1,284,3.30.2015
Report: Harrison Ford Is Released From The Hospital Almost A Month After His Plane Crash,release,m,0,0,514,3.30.2015
Will Smith & Tatyana Ali Had A MiniÊFresh PrinceReunion! See The Photo HERE!,have,m,1,1,3,3.30.2015
Justin Bieber's Ab-Tastic Evolution!,,m,0,0,245,3.30.2015
